number;time
192 2;0.96
235 2;0.42
251 2;0.8
366 7;1.0
366 2;0.28
664 2;0.44
679 2;0.42
682 4;0.86
682 2;0.15
738 2;1.74
903 2;0.56
1098 2;1.53
1225 2;0.25
1269 2;0.16
1286 2;0.8
1286 2;0.8
1301 2;0.72
1301 2;0.64
1301 2;0.79
1413 2;0.46
1422 2;0.14
1477 5;1.24
1480 2;0.13
1545 2;0.81
1563 2;1.13
1603 6;1.92
1687 2;0.41
1920 2;0.37
1979 2;0.55
2162 2;0.59
2185 2;1.73
2335 2;2.05
2353 3;0.88
2356 2;0.65
2376 2;1.56
2378 2;1.99
2443 2;0.32
2462 2;0.63
2462 2;1.29
2497 2;0.53
2505 2;0.77
2550 2;1.41
2643 2;0.23
2781 2;0.55
2977 2;1.83
3115 2;1.19
3127 2;1.33
3250 2;0.65
3284 2;0.03
3343 2;0.46
3350 2;0.92
3370 2;1.47
3370 2;0.16
3391 2;0.5
3565 2;0.63
3578 2;0.66
3599 2;0.66
3671 2;0.08
3780 2;0.23
4023 2;0.37
4086 3;0.73
4425 2;1.05
4438 2;0.21
4498 2;2.02
4557 3;0.64
4676 2;0.4
4740 3;0.52
4740 3;0.93
4763 2;1.58
4897 2;1.56
4996 2;0.09
5093 2;0.5
5110 2;0.52
5145 2;0.15
5281 2;0.35
5592 3;0.85
5900 2;2.64
5998 2;0.63
6057 2;0.35
6302 2;0.63
6302 4;0.71
6375 2;0.03
6414 3;0.62
6414 3;0.86
6418 2;0.38
6434 2;0.27
6491 2;0.17
6491 2;0.33
6511 2;0.4
6542 2;4.07
6678 2;1.34
6678 4;1.22
6879 2;1.67
6909 2;0.4
6921 2;0.63
6921 2;0.08
6955 2;3.2
7015 3;1.53
7067 2;0.56
7224 2;0.61
7258 2;1.09
7380 2;0.38
7610 2;0.6
7624 2;1.08
7770 2;1.11
7776 2;1.05
7861 2;0.39
7911 2;1.02
8024 2;0.63
8147 2;0.43
8147 2;0.24
8267 2;0.18
8335 2;2.16
8681 2;0.32
8701 2;0.77
8718 2;0.17
8718 2;0.29
8718 2;0.61
8970 2;1.4
8970 3;0.67
9294 2;0.55
9402 2;0.29
9502 2;0.8
9508 6;2.13
9535 4;0.92
9594 2;1.11
9921 2;1.63
9921 3;1.1
10067 2;0.47
10195 2;0.23
10792 2;0.94
10917 2;1.13
11022 2;0.45
11301 2;0.36
11362 2;0.54
11679 2;0.33
11739 2;1.25
12066 2;0.42
12291 2;1.13
12441 2;0.67
12448 2;1.06
12897 2;1.03
12956 2;0.36
12962 2;0.37
12987 2;0.11
12988 3;2.62
12988 2;0.53
13243 2;0.49
13419 3;0.75
13500 2;1.55
13522 2;0.26
13678 2;0.17
13724 2;0.4
13733 2;1.65
13795 3;0.14
13916 2;0.62
13956 2;0.19
14259 2;0.44
14416 2;0.53
14513 2;1.0
14654 2;0.38
15034 2;0.82
15099 2;0.39
15129 2;1.99
15129 2;0.69
15356 2;1.25
15427 2;0.55
15712 2;0.46
15902 2;0.31
16115 3;1.68
16282 2;0.31
16323 2;1.03
16399 2;0.76
16502 2;0.77
16511 3;0.87
16611 2;0.97
17117 3;0.7
17137 2;1.21
