number;time
3;2.6
3;0.71
5;1.74
5;1.29
6;1.35
3;0.94
4;1.33
3;5.21
4;1.47
4;2.0
10;8.67
4;0.93
6;1.19
5;1.67
3;2.66
4;0.82
4;1.52
6;2.56
3;0.98
3;1.0
5;7.76
3;0.26
3;0.9
3;1.84
5;0.4
3;0.87
3;0.28
3;0.73
4;4.1
6;2.01
3;2.4
3;3.56
8;2.43
3;2.33
4;6.07
7;1.07
4;2.83
5;4.97
3;1.86
4;0.79
3;1.61
4;1.67
4;0.68
4;4.53
3;0.32
3;0.08
3;2.79
3;1.61
5;1.38
4;1.03
5;2.16
3;2.25
3;1.13
3;3.82
4;1.48
3;6.06
3;3.22
3;3.11
4;2.27
3;0.92
3;1.64
3;1.57
8;5.02
4;1.18
5;9.51
3;4.05
6;1.1
4;1.26
4;2.09
5;1.06
3;3.47
8;4.87
6;3.05
4;1.27
3;0.13
5;1.18
3;1.84
4;2.04
4;1.07
3;1.15
6;1.45
14;7.87
3;0.29
6;2.05
4;1.81
3;0.51
4;0.33
3;2.82
4;2.67
4;2.07
3;2.7
3;0.84
9;3.91
7;3.88
5;1.25
3;1.04
4;5.11
4;1.43
3;0.67
3;1.83
3;0.99
3;0.91
6;2.97
4;1.29
3;1.34
5;3.9
7;1.8
10;4.16
4;3.61
5;0.6
4;1.98
6;6.21
3;0.31
5;1.81
3;3.77
3;1.25
3;4.62
3;1.07
3;1.05
3;2.16
7;7.94
5;1.38
3;0.35
5;0.81
3;1.06
3;1.19
5;5.05
3;3.13
4;0.99
3;7.7
3;2.44
4;0.71
4;2.23
4;5.43
4;3.55
10;4.84
4;1.49
5;2.47
3;2.64
4;3.54
3;1.85
3;3.44
5;5.2
4;4.81
4;2.18
3;2.02
4;7.99
3;0.79
4;0.42
6;8.44
3;0.24
8;2.93
4;1.05
6;1.84
3;0.28
4;0.96
6;4.78
3;2.84
7;6.53
5;1.35
4;0.76
3;1.08
3;0.87
4;5.55
3;3.56
3;0.84
3;0.42
3;0.2
5;3.03
3;1.17
3;0.85
4;0.81
6;4.23
4;2.84
6;4.38
5;1.63
3;1.28
4;2.0
3;2.93
4;4.51
4;1.33
4;7.67
4;1.25
7;4.53
4;1.55
5;3.66
5;1.5
4;3.01
4;1.9
7;1.93
7;2.16
3;0.91
6;1.84
7;4.35
4;0.8
4;0.33
4;1.74
4;3.22
5;1.84
6;1.06
3;0.62
3;0.69
3;1.31
3;0.67
5;1.59
3;0.78
6;3.22
3;4.41
6;2.48
3;1.09
