MEDICO->MEDICO
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;47.085%;3.912%;31.12%;46.733%;17.906%;15.747%
>9;;;6.798%;34.57%;49.912%;22.022%;19.23%
empeora;;;;3.597%;7.676%;0.757%;0.664%
estable;;;;;33.156%;35.029%;29.863%
mejora;;;;;;22.448%;19.402%
Medio_inestable;;;;;;;43.072%

MEDICO->ENFERMERA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;0.177%;0.081%;29.469%;35.717%;41.44%;33.235%
>9;;;33.479%;0.376%;0.953%;0.281%;0.774%
empeora;;;;0.78%;0.629%;0.595%;1.181%
estable;;;;;48.301%;38.947%;49.684%
mejora;;;;;;42.899%;48.793%
Medio_inestable;;;;;;;40.894%

MEDICO->NUTRICIONISTA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;6.386%;19.858%;49.689%;15.724%;3.116%;34.05%
>9;;;39.19%;6.249%;1.388%;0.131%;4.12%
empeora;;;;19.563%;8.855%;3.804%;14.656%
estable;;;;;16.049%;3.368%;34.395%
mejora;;;;;;28.724%;29.463%
Medio_inestable;;;;;;;11.713%

ENFERMERA->MEDICO
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;0.05%;4.052%;47.475%;23.352%;18.076%;38.933%
>9;;;24.854%;0.056%;1.207%;0.007%;0.074%
empeora;;;;4.099%;13.647%;1.42%;3.855%
estable;;;;;22.52%;20.39%;41.229%
mejora;;;;;;8.282%;19.906%
Medio_inestable;;;;;;;30.827%

ENFERMERA->ENFERMERA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;31.358%;27.101%;44.616%;23.862%;17.26%;3.844%
>9;;;40.428%;28.603%;44.64%;13.574%;21.044%
empeora;;;;25.418%;44.025%;14.921%;34.661%
estable;;;;;21.338%;21.407%;3.372%
mejora;;;;;;7.16%;22.8%
Medio_inestable;;;;;;;0.915%

ENFERMERA->NUTRICIONISTA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;1.834%;4.073%;43.547%;4.445%;15.441%;28.981%
>9;;;50.0%;2.78%;33.71%;15.874%;9.591%
empeora;;;;5.409%;36.877%;22.475%;12.764%
estable;;;;;6.383%;19.651%;33.963%
mejora;;;;;;25.639%;17.848%
Medio_inestable;;;;;;;36.437%

NUTRICIONISTA->MEDICO
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;6.485%;7.433%;10.617%;10.149%;1.925%;0.324%
>9;;;37.463%;0.603%;1.023%;0.107%;0.041%
empeora;;;;2.592%;2.43%;0.843%;0.226%
estable;;;;;40.186%;19.602%;6.195%
mejora;;;;;;32.071%;14.169%
Medio_inestable;;;;;;;24.03%

NUTRICIONISTA->ENFERMERA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;0.362%;14.102%;48.541%;47.903%;48.187%;19.149%
>9;;;30.027%;0.427%;1.662%;0.927%;6.772%
empeora;;;;13.899%;14.856%;15.425%;28.838%
estable;;;;;46.746%;49.499%;19.788%
mejora;;;;;;46.607%;21.499%
Medio_inestable;;;;;;;22.007%

NUTRICIONISTA->NUTRICIONISTA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;4.163%;4.163%;4.37%;32.662%;4.163%;21.376%
>9;;;N/A;0.158%;7.944%;N/A;4.162%
empeora;;;;0.158%;7.944%;N/A;4.162%
estable;;;;;17.12%;0.158%;27.884%
mejora;;;;;;7.944%;38.47%
Medio_inestable;;;;;;;4.162%

