MEDICO->MEDICO
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;37.365%;1.611%;2.187%;2.77%;0.0%;0.0%
>9;;;3.657%;17.96%;13.423%;0.001%;0.018%
empeora;;;;11.345%;19.543%;0.0%;0.0%
estable;;;;;32.658%;0.0%;0.0%
mejora;;;;;;0.0%;0.0%
Medio_inestable;;;;;;;30.992%

MEDICO->ENFERMERA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;0.759%;1.522%;41.504%;0.016%;3.25%;22.259%
>9;;;38.99%;1.061%;39.411%;0.073%;0.608%
empeora;;;;1.811%;45.331%;0.393%;1.315%
estable;;;;;0.037%;2.301%;17.693%
mejora;;;;;;0.0%;0.034%
Medio_inestable;;;;;;;18.686%

MEDICO->NUTRICIONISTA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;2.448%;7.138%;16.87%;42.317%;12.724%;10.902%
>9;;;50.0%;0.207%;5.31%;0.198%;0.227%
empeora;;;;0.793%;7.605%;0.663%;0.64%
estable;;;;;18.486%;40.602%;35.048%
mejora;;;;;;14.849%;12.881%
Medio_inestable;;;;;;;43.845%

ENFERMERA->MEDICO
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;5.001%;3.063%;38.031%;0.01%;1.243%;10.675%
>9;;;28.816%;3.142%;14.933%;0.159%;1.196%
empeora;;;;1.968%;39.785%;0.033%;0.299%
estable;;;;;0.004%;2.512%;15.977%
mejora;;;;;;0.0%;0.005%
Medio_inestable;;;;;;;23.876%

ENFERMERA->ENFERMERA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;45.423%;0.283%;11.051%;11.118%;25.945%;32.429%
>9;;;2.9%;22.251%;18.701%;28.752%;40.167%
empeora;;;;3.518%;10.456%;0.201%;2.039%
estable;;;;;37.77%;5.297%;28.309%
mejora;;;;;;4.662%;22.528%
Medio_inestable;;;;;;;16.237%

ENFERMERA->NUTRICIONISTA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;0.062%;24.1%;34.86%;1.256%;7.56%;20.438%
>9;;;14.435%;0.239%;15.668%;4.657%;1.8%
empeora;;;;30.918%;30.815%;45.513%;41.932%
estable;;;;;3.378%;14.483%;31.32%
mejora;;;;;;24.356%;12.472%
Medio_inestable;;;;;;;31.21%

NUTRICIONISTA->MEDICO
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;10.97%;0.27%;46.816%;17.283%;12.893%;0.093%
>9;;;11.097%;11.935%;35.151%;2.579%;0.021%
empeora;;;;0.312%;3.879%;0.033%;0.0%
estable;;;;;17.696%;16.479%;0.088%
mejora;;;;;;3.585%;0.02%
Medio_inestable;;;;;;;1.548%

NUTRICIONISTA->ENFERMERA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;42.355%;15.697%;2.686%;37.513%;38.312%;42.4%
>9;;;20.129%;8.148%;34.874%;34.808%;48.8%
empeora;;;;0.59%;10.727%;12.355%;19.792%
estable;;;;;13.992%;6.152%;3.304%
mejora;;;;;;46.028%;33.476%
Medio_inestable;;;;;;;33.454%

NUTRICIONISTA->NUTRICIONISTA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;15.648%;0.313%;2.833%;34.926%;39.524%;2.795%
>9;;;1.185%;18.511%;31.761%;26.229%;17.13%
empeora;;;;0.084%;2.909%;1.707%;0.116%
estable;;;;;8.421%;5.616%;47.032%
mejora;;;;;;44.423%;7.858%
Medio_inestable;;;;;;;5.314%

