ACTIVIDADES GRUPALES
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;9.488%;10.366%;26.544%;48.596%;10.366%;10.366%
>9;;;6.63%;7.756%;9.795%;6.63%;6.63%
empeora;;;;16.054%;16.326%;N/A;N/A
estable;;;;;29.63%;16.054%;16.054%
mejora;;;;;;16.326%;16.326%
Medio_inestable;;;;;;;N/A

ASISTENTE SOCIAL
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;N/A;N/A;N/A;N/A;N/A;N/A
>9;;;N/A;N/A;N/A;N/A;N/A
empeora;;;;N/A;N/A;N/A;N/A
estable;;;;;N/A;N/A;N/A
mejora;;;;;;N/A;N/A
Medio_inestable;;;;;;;N/A

CONSULTA NUTRICIONAL
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;15.973%;15.973%;35.672%;15.973%;15.973%;15.973%
>9;;;N/A;16.054%;N/A;N/A;N/A
empeora;;;;16.054%;N/A;N/A;N/A
estable;;;;;16.054%;16.054%;16.054%
mejora;;;;;;N/A;N/A
Medio_inestable;;;;;;;N/A

CONSULTA PSICOLOGICA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;15.973%;15.973%;15.973%;15.973%;15.973%;15.973%
>9;;;N/A;N/A;N/A;N/A;N/A
empeora;;;;N/A;N/A;N/A;N/A
estable;;;;;N/A;N/A;N/A
mejora;;;;;;N/A;N/A
Medio_inestable;;;;;;;N/A

ENCARGADO DE FAMILIA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;6.449%;28.807%;49.316%;19.59%;31.989%;32.713%
>9;;;4.507%;7.085%;10.984%;9.454%;8.522%
empeora;;;;28.78%;15.472%;26.426%;21.083%
estable;;;;;25.777%;38.33%;36.838%
mejora;;;;;;39.66%;34.993%
Medio_inestable;;;;;;;47.866%

EVALUACION PIE DM
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;45.841%;24.24%;41.79%;24.718%;41.83%;49.43%
>9;;;27.133%;39.491%;27.78%;46.187%;47.099%
empeora;;;;20.619%;44.526%;30.042%;25.934%
estable;;;;;21.848%;36.098%;43.16%
mejora;;;;;;31.944%;26.615%
Medio_inestable;;;;;;;43.601%

TRATAMIENTO PIE DIABETICO
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;16.19%;N/A;16.054%;16.326%;N/A;16.241%
>9;;;16.19%;17.066%;18.399%;16.19%;17.052%
empeora;;;;16.054%;16.326%;N/A;16.241%
estable;;;;;29.63%;16.054%;49.571%
mejora;;;;;;16.326%;29.395%
Medio_inestable;;;;;;;16.241%

VISITA DOMICILIARIA
;[7-9];>9;empeora;estable;mejora;Medio_inestable;Muy_inestable
[7-9];;7.911%;7.911%;45.435%;31.204%;7.911%;16.773%
>9;;;N/A;16.054%;16.345%;N/A;8.023%
empeora;;;;16.054%;16.345%;N/A;8.023%
estable;;;;;29.63%;16.054%;15.987%
mejora;;;;;;16.345%;34.154%
Medio_inestable;;;;;;;8.023%
