CASE;DETERGENTE;SECTOR
1;A;ALTO
2;A;ALTO
3;A;ALTO
4;A;ALTO
5;A;ALTO
6;A;ALTO
7;A;ALTO
8;A;ALTO
9;A;ALTO
10;A;ALTO
11;B;ALTO
12;B;ALTO
13;B;ALTO
14;B;ALTO
15;B;ALTO
16;B;ALTO
17;B;ALTO
18;B;ALTO
19;B;ALTO
20;B;ALTO
21;B;ALTO
22;B;ALTO
23;B;ALTO
24;B;ALTO
25;B;ALTO
26;B;ALTO
27;B;ALTO
28;B;ALTO
29;B;ALTO
30;B;ALTO
31;B;ALTO
32;B;ALTO
33;B;ALTO
34;B;ALTO
35;B;ALTO
36;B;ALTO
37;B;ALTO
38;B;ALTO
39;B;ALTO
40;B;ALTO
41;B;ALTO
42;B;ALTO
43;B;ALTO
44;B;ALTO
45;B;ALTO
46;B;ALTO
47;B;ALTO
48;B;ALTO
49;B;ALTO
50;B;ALTO
51;C;ALTO
52;C;ALTO
53;C;ALTO
54;C;ALTO
55;C;ALTO
56;C;ALTO
57;C;ALTO
58;C;ALTO
59;C;ALTO
60;C;ALTO
61;C;ALTO
62;C;ALTO
63;C;ALTO
64;C;ALTO
65;C;ALTO
66;C;ALTO
67;C;ALTO
68;C;ALTO
69;C;ALTO
70;C;ALTO
71;C;ALTO
72;C;ALTO
73;C;ALTO
74;C;ALTO
75;C;ALTO
76;C;ALTO
77;C;ALTO
78;C;ALTO
79;C;ALTO
80;C;ALTO
81;C;ALTO
82;C;ALTO
83;C;ALTO
84;C;ALTO
85;C;ALTO
86;C;ALTO
87;C;ALTO
88;C;ALTO
89;C;ALTO
90;C;ALTO
91;C;ALTO
92;C;ALTO
93;C;ALTO
94;C;ALTO
95;C;ALTO
96;C;ALTO
97;C;ALTO
98;C;ALTO
99;C;ALTO
100;C;ALTO
101;C;ALTO
102;C;ALTO
103;C;ALTO
104;C;ALTO
105;C;ALTO
106;C;ALTO
107;C;ALTO
108;C;ALTO
109;C;ALTO
110;C;ALTO
111;A;MEDIO
112;A;MEDIO
113;A;MEDIO
114;A;MEDIO
115;A;MEDIO
116;A;MEDIO
117;A;MEDIO
118;A;MEDIO
119;A;MEDIO
120;A;MEDIO
121;A;MEDIO
122;A;MEDIO
123;A;MEDIO
124;A;MEDIO
125;A;MEDIO
126;B;MEDIO
127;B;MEDIO
128;B;MEDIO
129;B;MEDIO
130;B;MEDIO
131;B;MEDIO
132;B;MEDIO
133;B;MEDIO
134;B;MEDIO
135;B;MEDIO
136;B;MEDIO
137;B;MEDIO
138;B;MEDIO
139;B;MEDIO
140;B;MEDIO
141;B;MEDIO
142;B;MEDIO
143;B;MEDIO
144;B;MEDIO
145;B;MEDIO
146;B;MEDIO
147;B;MEDIO
148;B;MEDIO
149;B;MEDIO
150;B;MEDIO
151;B;MEDIO
152;B;MEDIO
153;B;MEDIO
154;B;MEDIO
155;B;MEDIO
156;B;MEDIO
157;B;MEDIO
158;B;MEDIO
159;B;MEDIO
160;B;MEDIO
161;B;MEDIO
162;B;MEDIO
163;B;MEDIO
